resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,carPerformance
26286,1121,830,9,33,1,1,1,1,26,57,31:44.7,5504742,39,1,01:32.6,210.383,1,1
26287,1121,815,9,11,5,2,2,2,18,57,22.457,5527199,40,4,01:34.4,206.468,1,1
26288,1121,832,6,55,4,3,3,3,15,57,25.11,5529852,44,6,01:34.5,206.156,1,0.96
26289,1121,844,6,16,2,4,4,4,12,57,39.669,5544411,36,2,01:34.1,207.069,1,0.96
26290,1121,847,131,63,3,5,5,5,10,57,46.788,5551530,40,12,01:35.1,204.946,1,0.95
26291,1121,846,1,4,7,6,6,6,8,57,48.458,5553200,1,5,01:34.5,206.223,1,0.97
26292,1121,1,131,44,9,7,7,7,6,57,50.324,5555066,39,7,01:34.7,205.688,1,0.95
26293,1121,857,1,81,8,8,8,8,4,57,56.082,5560824,1,11,01:35.0,205.123,1,0.97
26294,1121,4,117,14,6,9,9,9,2,57,+1:14.887,5579629,48,3,01:34.2,206.83,1,0.88
26295,1121,840,117,18,12,10,10,10,1,57,+1:33.216,5597958,30,16,01:35.6,203.73,1,0.88
26296,1121,855,15,24,17,11,11,11,0,56,\N,\N,30,14,01:35.5,204.102,11,0.85
26297,1121,825,210,20,15,12,12,12,0,56,\N,\N,34,15,01:35.6,203.863,11,0.9
26298,1121,817,215,3,14,13,13,13,0,56,\N,\N,37,13,01:35.2,204.735,11,0.88
26299,1121,852,215,22,11,14,14,14,0,56,\N,\N,37,18,01:35.8,203.303,11,0.88
26300,1121,848,3,23,13,15,15,15,0,56,\N,\N,40,17,01:35.7,203.537,11,0.9
26301,1121,807,210,27,10,16,16,16,0,56,\N,\N,46,10,01:34.8,205.445,11,0.9
26302,1121,839,214,31,19,17,17,17,0,56,\N,\N,34,20,01:36.2,202.473,11,0.85
26303,1121,842,214,10,20,18,18,18,0,56,\N,\N,45,9,01:34.8,205.508,11,0.85
26304,1121,822,15,77,16,19,19,19,0,56,\N,\N,33,19,01:36.2,202.523,11,0.85
26305,1121,858,3,2,18,20,20,20,0,55,\N,\N,42,8,01:34.7,205.659,12,0.9
26306,1122,830,9,33,1,1,1,1,25,50,20:43.3,4843273,50,3,01:31.8,242.188,1,1
26307,1122,815,9,11,3,2,2,2,18,50,13.6431,4862704,37,8,01:32.3,240.876,1,1
26308,1122,844,6,16,2,3,3,3,16,50,18.639,4861912,50,1,01:31.6,242.561,1,0.96
26309,1122,857,1,81,5,4,4,4,12,50,32.007,4875280,1,10,01:32.3,240.779,1,0.97
26310,1122,4,117,14,4,5,5,5,10,50,35.759,4879032,43,13,01:32.4,240.579,1,0.88
26311,1122,847,131,63,7,6,6,6,8,50,39.936,4883209,42,7,01:32.3,240.926,1,0.95
26312,1122,860,6,38,11,7,7,7,6,50,42.679,4885952,50,5,01:32.2,241.103,1,0.96
26313,1122,846,1,4,6,8,8,8,4,50,45.708,4888981,1,4,01:31.9,241.738,1,0.97
26314,1122,1,131,44,8,9,9,9,2,50,47.391,4890664,38,2,01:31.7,242.26,1,0.95
26315,1122,807,210,27,15,10,10,10,1,50,+1:16.996,4920269,49,12,01:32.4,240.633,1,0.9
26316,1122,848,3,23,12,11,11,11,0,50,+1:28.354,4931627,50,9,01:32.3,240.787,1,0.9
26317,1122,825,210,20,13,12,12,12,0,50,+1:45.7373,4955646,47,11,01:32.3,240.706,1,0.9
26318,1122,839,214,31,17,13,13,13,0,49,\N,\N,48,17,01:33.5,237.763,11,0.85
26319,1122,858,3,2,19,14,14,14,0,49,\N,\N,44,18,01:33.5,237.657,11,0.9
26320,1122,852,215,22,9,15,15,15,0,49,\N,\N,49,15,01:33.0,238.926,11,0.88
26321,1122,817,215,3,14,16,16,16,0,49,\N,\N,47,16,01:33.3,238.166,11,0.88
26322,1122,822,15,77,16,17,17,17,0,49,\N,\N,49,14,01:32.7,239.751,11,0.85
26323,1122,855,15,24,20,18,18,18,0,49,\N,\N,49,6,01:32.2,241.046,11,0.85
26324,1122,840,117,18,10,\N,R,19,0,5,\N,\N,5,19,01:35.6,232.591,3,0.88
26325,1122,842,214,10,18,\N,R,20,0,1,\N,\N,\N,0,\N,\N,6,0.85
26326,1123,832,6,55,2,1,1,1,25,58,20:26.8,4826843,48,3,01:20.0,237.418,1,0.96
26327,1123,844,6,16,4,2,2,2,19,58,2.366,4829209,56,1,01:19.8,238.066,1,0.96
26328,1123,846,1,4,3,3,3,3,15,58,5.904,4832747,1,2,01:19.9,237.762,1,0.97
26329,1123,857,1,81,5,4,4,4,12,58,35.77,4862613,1,4,01:20.2,236.92,1,0.97
26330,1123,815,9,11,6,5,5,5,10,58,56.309,4883152,47,6,01:20.4,236.363,1,1
26331,1123,840,117,18,9,6,6,6,8,58,+1:33.222,4920065,49,8,01:20.9,234.78,1,0.88
26332,1123,852,215,22,8,7,7,7,6,58,+1:35.601,4922444,46,11,01:21.1,234.19,1,0.88
26333,1123,4,117,14,10,8,8,8,4,58,+1:40.992,4927835,52,7,01:20.5,236.055,1,0.88
26334,1123,807,210,27,16,9,9,9,2,58,+1:44.553,4931396,46,12,01:21.1,234.158,1,0.9
26335,1123,825,210,20,14,10,10,10,1,57,\N,\N,44,9,01:21.1,234.34,11,0.9
26336,1123,848,3,23,12,11,11,11,0,57,\N,\N,46,17,01:21.6,232.801,11,0.9
26337,1123,817,215,3,18,12,12,12,0,57,\N,\N,46,13,01:21.2,233.887,11,0.88
26338,1123,842,214,10,17,13,13,13,0,57,\N,\N,51,10,01:21.1,234.317,11,0.85
26339,1123,822,15,77,13,14,14,14,0,57,\N,\N,48,16,01:21.4,233.361,11,0.85
26340,1123,855,15,24,19,15,15,15,0,57,\N,\N,49,14,01:21.3,233.634,11,0.85
26341,1123,839,214,31,15,16,16,16,0,57,\N,\N,45,15,01:21.4,233.557,11,0.85
26342,1123,847,131,63,7,17,17,17,0,56,\N,\N,53,5,01:20.3,236.669,3,0.95
26343,1123,1,131,44,11,\N,R,18,0,15,\N,\N,11,18,01:22.4,230.469,5,0.95
26344,1123,830,9,33,1,\N,R,19,0,3,\N,\N,3,19,01:23.1,228.608,23,1
26345,1124,830,9,33,1,1,1,1,26,53,54:23.6,6863566,50,1,01:33.7,223.093,1,1
26346,1124,815,9,11,2,2,2,2,18,53,12.535,6876101,35,3,01:33.9,222.525,1,1
26347,1124,832,6,55,4,3,3,3,15,53,20.866,6884432,46,2,01:33.8,222.772,1,0.96
26348,1124,844,6,16,8,4,4,4,12,53,26.522,6890088,53,9,01:35.0,219.952,1,0.96
26349,1124,846,1,4,3,5,5,5,10,53,29.7,6893266,1,10,01:35.2,219.624,1,0.97
26350,1124,4,117,14,5,6,6,6,8,53,44.272,6907838,53,6,01:34.7,220.691,1,0.88
26351,1124,847,131,63,9,7,7,7,6,53,45.951,6909517,39,5,01:34.4,221.444,1,0.95
26352,1124,857,1,81,6,8,8,8,4,53,47.525,6911091,1,7,01:34.8,220.514,1,0.97
26353,1124,1,131,44,7,9,9,9,2,53,48.626,6912192,41,4,01:34.0,222.509,1,0.95
26354,1124,852,215,22,10,10,10,10,1,52,\N,\N,51,14,01:36.3,216.989,11,0.88
26355,1124,807,210,27,12,11,11,11,0,52,\N,\N,52,11,01:35.3,219.304,11,0.9
26356,1124,840,117,18,16,12,12,12,0,52,\N,\N,41,12,01:35.8,218.221,11,0.88
26357,1124,825,210,20,18,13,13,13,0,52,\N,\N,24,17,01:36.7,216.289,11,0.9
